family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All
qwen3,0.6b,1e-06,0.01,200,1226.1,45.81911262798635,32.82828282828283,43.59363153904473,53.49531965743876,69.0424374319913,43.18077301539407,33.420103104207946,50.93333333333333,55.74324324324324,1.2905044486733648,607.5947446215871,-0.42159539405655,-0.585719135812675,-0.4812767546951409
qwen3,0.6b,1e-06,0.01,400,2452.3,46.2457337883959,32.323232323232325,43.59363153904473,53.714399522007575,69.58650707290533,43.15272774047148,33.12034291236142,51.16666666666666,58.55263157894737,1.2694822903388534,612.0732513669307,-0.5196298691430871,-0.958512654842358,-0.6792236093973675
qwen3,0.6b,1e-06,0.01,600,3678.4,46.160409556314,30.303030303030305,43.59363153904473,53.82393945429197,69.36887921653971,43.218082728059166,33.30767918013095,47.16666666666667,59.523809523809526,1.0721513223342634,632.0272927992604,-0.8359867341028332,-1.0924520729663838,-0.9292468573259426
qwen3,0.6b,1e-06,0.01,800,4904.5,46.33105802047782,31.818181818181817,43.59363153904473,53.833897629954194,69.53210010881394,43.21633288201323,32.39343829926816,47.93333333333334,62.66233766233766,1.5847418868137075,603.3895922898274,-0.7153561815546948,-1.2583129675156943,-0.9127950128132402
qwen3,0.6b,1e-06,0.01,1000,6130.7,46.58703071672355,31.313131313131315,43.59363153904473,53.804023102967534,69.47769314472254,43.24422684276389,31.46296271670279,49.36666666666666,61.82432432432432,1.320613272698451,638.6556253078936,-0.7580354912358465,-1.1402891467307468,-0.8970368205067193
qwen3,0.6b,1e-06,0.01,1200,7356.8,46.33105802047782,32.323232323232325,43.59363153904473,53.804023102967534,69.26006528835691,43.25704371895354,32.741902596222474,48.9,60.85526315789473,1.3234149587184496,596.8879630348148,-0.7110380480730288,-1.3374398532943723,-0.9388205226989719
qwen3,0.6b,1e-06,0.01,1400,8582.9,46.33105802047782,32.323232323232325,43.59363153904473,53.82393945429197,69.80413492927094,43.218675220993255,33.34264196775666,48.96666666666666,60.810810810810814,1.495504934162171,627.5615294988329,-0.3565567024004036,-0.9486678598384256,-0.5718698505596843
qwen3,0.6b,1e-06,0.01,1600,9809.0,46.160409556314,31.818181818181817,43.59363153904473,53.89364668392751,69.26006528835691,43.300834421558406,33.06039087399212,46.53333333333333,62.5,1.5909759886408552,562.5751735960475,-0.726119874132839,-1.5620748036345349,-1.0301034848607284
qwen3,0.6b,1e-06,0.01,1800,11035.2,46.33105802047782,31.818181818181817,43.59363153904473,53.7841067516431,69.1512513601741,43.21802751707688,33.2452337575411,50.8,60.47297297297297,1.628866890687403,600.2037154492623,-0.7020073430160679,-1.1229199201861844,-0.8550664619870194
qwen3,0.6b,1e-06,0.01,2000,12261.3,46.33105802047782,33.33333333333333,43.59363153904473,53.86377215694085,69.64091403699673,43.17190065706817,33.53623940034664,50.0,62.0,1.0593827999090644,643.6153886648397,-0.32462138510509736,-0.86389508870641,-0.5207209136873928
qwen3,0.6b,1e-06,0.01,2031,12451.4,46.2457337883959,31.818181818181817,43.59363153904473,53.75423222465644,69.42328618063112,43.173850760054414,56.21251612388463,48.46666666666666,61.25827814569536,1.3570068918696192,652.2110732583229,-0.3514840867628843,-1.0285240504952782,-0.5976804372110276
qwen3,0.6b,1e-06,0.02,200,985.5,45.64846416382253,32.82828282828283,42.380591357088704,53.56502688707428,69.42328618063112,43.07357801269517,32.49710767430418,48.49999999999999,51.32450331125828,1.3079548530737697,614.8733418816573,-0.36582823389464664,-1.0211076872994111,-0.6041116714963791
qwen3,0.6b,1e-06,0.02,400,1970.9,46.160409556314,31.818181818181817,42.380591357088704,53.75423222465644,69.64091403699673,43.18019078952451,32.79060670133024,50.6,56.80272108843537,1.228894379612416,610.2641547243841,-0.6892559489935018,-1.1165675666290897,-0.8446419917700794
qwen3,0.6b,1e-06,0.02,600,2956.4,46.2457337883959,31.818181818181817,42.380591357088704,53.68452499502091,69.42328618063112,43.19803414888224,32.9729562006587,48.4,63.63636363636363,1.0954255804558268,615.4475094050568,-0.7051717107059936,-1.1166482709211816,-0.8547995507842437
qwen3,0.6b,1e-06,0.02,800,3941.9,46.2457337883959,31.818181818181817,42.380591357088704,53.843855805616414,69.47769314472254,43.2794651816132,33.420103104207946,43.766666666666666,55.71428571428572,1.1931526177650391,630.6847667026393,-0.7951749490608992,-1.6346492284866618,-1.10043832339754
qwen3,0.6b,1e-06,0.02,1000,4927.3,46.33105802047782,31.818181818181817,42.380591357088704,53.82393945429197,69.53210010881394,43.28269056009819,33.835999592193154,51.23333333333333,65.78947368421053,1.0549305149244044,602.5583328704806,-0.7081290886550022,-1.031385616830835,-0.825676917082578
qwen3,0.6b,1e-06,0.02,1200,5912.8,46.33105802047782,32.323232323232325,42.380591357088704,53.833897629954194,69.64091403699673,43.27151002084744,33.748564918859735,49.86666666666667,61.224489795918366,1.2044157394273178,572.7467232165419,-0.41425502447706025,-1.4466381408606463,-0.7896670667983643
qwen3,0.6b,1e-06,0.02,1400,6898.3,46.2457337883959,31.313131313131315,42.380591357088704,53.764190400318654,69.1512513601741,43.28004674684951,32.649481154447976,49.3,64.52702702702703,1.4684163137635122,607.0839272745434,-0.9313071242407823,-0.9553704483678493,-0.9400574239233521
qwen3,0.6b,1e-06,0.02,1600,7883.7,46.33105802047782,31.818181818181817,42.380591357088704,53.86377215694085,69.26006528835691,43.32121989439284,33.12782306502303,48.23333333333333,61.58940397350994,1.8400957554940047,605.2223509863226,-0.7340471981585328,-1.0174599986730355,-0.8371063983456248
qwen3,0.6b,1e-06,0.02,1800,8869.2,46.58703071672355,32.323232323232325,42.380591357088704,53.674566819358695,69.47769314472254,43.28704923081551,32.199840866678194,48.2,58.108108108108105,1.1338260957150368,615.9007684665831,-0.5017679670459254,-1.41450486954457,-0.8336722952272507
qwen3,0.6b,1e-06,0.02,2000,9854.6,46.07508532423208,31.818181818181817,42.380591357088704,53.85381398127864,69.26006528835691,43.31175911245712,32.56703324955562,49.16666666666666,60.738255033557046,1.1709927054450964,597.1786179359067,-0.842065838988321,-1.570402744326853,-1.1069156227477872
qwen3,0.6b,1e-06,0.02,2031,10007.4,46.41638225255973,30.303030303030305,42.380591357088704,53.73431587333201,69.31447225244831,43.39939296775846,55.23333643621148,47.8,64.62585034013605,1.2986337472358982,635.04062164546,-0.6563952795889733,-1.1599898659005572,-0.8395205837022764
qwen3,0.6b,1e-06,0.04,200,983.2,46.07508532423208,31.313131313131315,42.30477634571645,53.53515236008764,69.26006528835691,43.090526737416965,33.914679716485594,48.93333333333333,57.71812080536913,1.9184241189029103,608.5735380973538,-0.6918550921488416,-0.5526422116124938,-0.6412322264992606
qwen3,0.6b,1e-06,0.04,400,1966.5,46.07508532423208,32.323232323232325,42.30477634571645,53.714399522007575,69.1512513601741,43.197087117080336,34.36930677269645,48.16666666666666,56.25,1.3088369560906157,622.4568799134535,-0.8930505997340213,-1.1940288125838818,-1.0024972225885158
qwen3,0.6b,1e-06,0.04,600,2949.7,46.160409556314,31.818181818181817,42.30477634571645,53.77414857598089,69.64091403699673,43.298264829642335,33.457559276054205,49.0,62.08053691275168,1.1524479248530015,612.967579003823,-0.49064990992290386,-1.1797359784435424,-0.741226662112227
qwen3,0.6b,1e-06,0.04,800,3933.0,46.67235494880546,30.80808080808081,41.54662623199393,53.804023102967534,69.58650707290533,43.293074683062,35.422179816220954,48.73333333333333,65.13157894736842,1.315869091927618,662.6360331946719,-0.76919679003382,-0.47500754212733043,-0.6622188817041875
qwen3,0.6b,1e-06,0.04,1000,4916.2,46.41638225255973,33.83838383838384,42.0773313115997,53.843855805616414,69.2056583242655,43.43589291987956,32.95422811473557,49.4,65.17241379310344,1.470491020294668,589.8226369141203,-0.7640193407514164,-1.2395866676573564,-0.9369529141717582
qwen3,0.6b,1e-06,0.04,1200,5899.5,46.41638225255973,31.818181818181817,42.53222137983321,53.89364668392751,69.36887921653971,43.360071489403,31.950059176318835,49.766666666666666,62.24489795918368,0.8615665909090261,654.8585425285195,-0.6930646363631008,-0.7567071185127291,-0.7162073571447839
qwen3,0.6b,1e-06,0.04,1400,6882.7,46.33105802047782,32.82828282828283,42.45640636846096,53.74427404899422,69.31447225244831,43.3584444132496,32.07245663727798,46.266666666666666,59.74025974025974,1.535840599615875,606.4561318687295,-0.653907159000143,-1.4366879854842551,-0.9385547322670927
